id,Y18
4752,20.840647572146057
4753,20.90603600042216
4754,20.85132519666976
4755,20.27123729838968
4756,20.267979234222686
4757,20.37586022799689
4758,20.122922225489244
4759,19.940062104871377
4760,19.738243341300695
4761,19.702193831412913
4762,19.569069326753535
4763,19.527474898612176
4764,19.560617979280654
4765,19.524444354727343
4766,19.63940341932634
4767,19.175039313445918
4768,19.055306596433265
4769,18.954727166046712
4770,18.74159827472791
4771,18.791808702268384
4772,18.820860482548966
4773,18.706383238428124
4774,18.66509164868468
4775,18.779629203498114
4776,18.689936246653204
4777,18.512771652036836
4778,18.361549285002187
4779,17.966748272508127
4780,18.1745749682991
4781,18.19061577023508
4782,18.076566962413246
4783,18.10947981272544
4784,17.88905547504052
4785,17.89138061283837
4786,18.080818707770693
4787,18.167076632070163
4788,18.35912403400299
4789,18.762981790067435
4790,19.025504539962075
4791,19.309875900551393
4792,20.14992052014688
4793,20.648464005321625
4794,21.367967132077037
4795,22.040841796900985
4796,22.78549685227748
4797,23.23168936655295
4798,23.637236262398215
4799,23.93452710730608
4800,25.582735008804956
4801,26.287222490747798
4802,26.519855557817596
4803,26.998014409474827
4804,27.712200666903204
4805,29.051297470490134
4806,30.087526273049328
4807,30.771026394073342
4808,31.220721893652456
4809,31.502924951508504
4810,32.524819304837784
4811,32.704381676018905
4812,33.95304251574096
4813,33.67963725491436
4814,33.74475731494435
4815,34.75939794343299
4816,34.55267490728582
4817,35.79991068598091
4818,35.3826752165321
4819,36.18053575955072
4820,36.7876092144832
4821,36.763833972458016
4822,37.01614810720259
4823,36.58493062316334
4824,35.962274193807005
4825,35.859857062877204
4826,36.18069179141695
4827,35.87159410153357
4828,35.98621404410623
4829,36.78335950611443
4830,37.032922500205046
4831,35.818945987665316
4832,35.74892758525952
4833,36.47232196421969
4834,35.876685268775645
4835,35.267802341359534
4836,35.70039176798342
4837,35.915520577012565
4838,35.66856945135772
4839,35.743835026346844
4840,34.968340531049655
4841,34.71043263651688
4842,34.57167139377338
4843,34.34684104936835
4844,34.35594000110645
4845,34.38702829994058
4846,34.53515848557326
4847,33.7704903435935
4848,34.223368013863016
4849,33.182477890544
4850,33.625294207487016
4851,33.479407857298085
4852,33.63975891396494
4853,33.517975261840405
4854,32.83515011118265
4855,32.66742790740311
4856,32.58610487282815
4857,33.00213401146108
4858,32.389557603533945
4859,31.560457501000215
4860,31.90081256691
4861,31.0234239152568
4862,30.80517246700944
4863,30.44598128154534
4864,29.919629459871768
4865,29.237508203027268
